date,session,cash,pending_am_to_pm,pending_next_day,equity_snapshot,host_recomputed,reconcile_abs_diff,positions,marks,month_end
2019-10-24,am,94030.79999999996,0.0,0.0,215090.99999999994,215090.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.151|sh.518880:3.371|sz.159934:3.344,false
2019-10-24,pm,94030.79999999996,0.0,0.0,214917.29999999996,214917.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.167|sh.518880:3.364|sz.159934:3.337,false
2019-10-25,am,94030.79999999996,0.0,0.0,214917.29999999996,214917.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.167|sh.518880:3.364|sz.159934:3.337,false
2019-10-25,pm,94030.79999999996,0.0,0.0,215798.69999999995,215798.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.215|sh.518880:3.398|sz.159934:3.371,false
2019-10-28,am,94030.79999999996,0.0,0.0,215798.69999999995,215798.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.215|sh.518880:3.398|sz.159934:3.371,false
2019-10-28,pm,94030.79999999996,0.0,0.0,215640.19999999995,215640.19999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.027|sh.518880:3.395|sz.159934:3.366,false
2019-10-29,am,94030.79999999996,0.0,0.0,215640.19999999995,215640.19999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.027|sh.518880:3.395|sz.159934:3.366,false
2019-10-29,pm,94030.79999999996,0.0,0.0,214765.99999999997,214765.99999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.96|sh.518880:3.36|sz.159934:3.334,false
2019-10-30,am,94030.79999999996,0.0,0.0,214765.99999999997,214765.99999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.96|sh.518880:3.36|sz.159934:3.334,false
2019-10-30,pm,94030.79999999996,0.0,0.0,214649.59999999998,214649.59999999995,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.912|sh.518880:3.356|sz.159934:3.33,false
2019-10-31,am,94030.79999999996,0.0,0.0,214649.59999999998,214649.59999999995,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.912|sh.518880:3.356|sz.159934:3.33,false
2019-10-31,pm,94030.79999999996,0.0,0.0,214816.89999999997,214816.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.96|sh.518880:3.363|sz.159934:3.335,true
2019-11-01,am,94030.79999999996,0.0,0.0,214816.89999999997,214816.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.96|sh.518880:3.363|sz.159934:3.335,false
2019-11-01,pm,94030.79999999996,0.0,0.0,215459.99999999997,215459.99999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.021|sh.518880:3.387|sz.159934:3.36,false
2019-11-04,am,94030.79999999996,0.0,0.0,215459.99999999997,215459.99999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.021|sh.518880:3.387|sz.159934:3.36,false
2019-11-04,pm,94030.79999999996,0.0,0.0,215338.49999999997,215338.49999999994,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.956|sh.518880:3.383|sz.159934:3.356,false
2019-11-05,am,94030.79999999996,0.0,0.0,215338.49999999997,215338.49999999994,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:117.956|sh.518880:3.383|sz.159934:3.356,false
2019-11-05,pm,94030.79999999996,0.0,0.0,214859.79999999996,214859.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.06|sh.518880:3.362|sz.159934:3.337,false
2019-11-06,am,94030.79999999996,0.0,0.0,214859.79999999996,214859.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.06|sh.518880:3.362|sz.159934:3.337,false
2019-11-06,pm,94030.79999999996,0.0,0.0,213642.79999999996,213642.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.211|sh.518880:3.313|sz.159934:3.287,false
2019-11-07,am,94030.79999999996,0.0,0.0,213642.79999999996,213642.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.211|sh.518880:3.313|sz.159934:3.287,false
2019-11-07,pm,94030.79999999996,0.0,0.0,214077.79999999996,214077.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.131|sh.518880:3.331|sz.159934:3.305,false
2019-11-08,am,94030.79999999996,0.0,0.0,214077.79999999996,214077.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.131|sh.518880:3.331|sz.159934:3.305,false
2019-11-08,pm,94030.79999999996,0.0,0.0,212506.79999999996,212506.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.079|sh.518880:3.269|sz.159934:3.245,false
2019-11-11,am,94030.79999999996,0.0,0.0,212506.79999999996,212506.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.079|sh.518880:3.269|sz.159934:3.245,false
2019-11-11,pm,94030.79999999996,0.0,0.0,212449.69999999995,212449.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.229|sh.518880:3.266|sz.159934:3.24,false
2019-11-12,am,94030.79999999996,0.0,0.0,212449.69999999995,212449.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.229|sh.518880:3.266|sz.159934:3.24,false
2019-11-12,pm,94030.79999999996,0.0,0.0,211671.69999999995,211671.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.27|sh.518880:3.233|sz.159934:3.211,false
2019-11-13,am,94030.79999999996,0.0,0.0,211671.69999999995,211671.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.27|sh.518880:3.233|sz.159934:3.211,false
2019-11-13,pm,94030.79999999996,0.0,0.0,212491.39999999997,212491.39999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.283|sh.518880:3.267|sz.159934:3.241,false
2019-11-14,am,94030.79999999996,0.0,0.0,212491.39999999997,212491.39999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.283|sh.518880:3.267|sz.159934:3.241,false
2019-11-14,pm,94030.79999999996,0.0,0.0,212690.09999999998,212690.09999999998,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.223|sh.518880:3.276|sz.159934:3.249,false
2019-11-15,am,94030.79999999996,0.0,0.0,212690.09999999998,212690.09999999998,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.223|sh.518880:3.276|sz.159934:3.249,false
2019-11-15,pm,94030.79999999996,0.0,0.0,212515.49999999997,212515.49999999994,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.321|sh.518880:3.268|sz.159934:3.241,false
2019-11-18,am,94030.79999999996,0.0,0.0,212515.49999999997,212515.49999999994,2.9103830456733704e-11,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.321|sh.518880:3.268|sz.159934:3.241,false
2019-11-18,pm,94030.79999999996,0.0,0.0,212648.89999999997,212648.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.638|sh.518880:3.269|sz.159934:3.243,false
2019-11-19,am,94030.79999999996,0.0,0.0,212648.89999999997,212648.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.638|sh.518880:3.269|sz.159934:3.243,false
2019-11-19,pm,94030.79999999996,0.0,0.0,213214.29999999996,213214.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.695|sh.518880:3.29|sz.159934:3.265,false
2019-11-20,am,94030.79999999996,0.0,0.0,213214.29999999996,213214.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.695|sh.518880:3.29|sz.159934:3.265,false
2019-11-20,pm,94030.79999999996,0.0,0.0,213462.79999999996,213462.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.631|sh.518880:3.301|sz.159934:3.275,false
2019-11-21,am,94030.79999999996,0.0,0.0,213462.79999999996,213462.79999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.631|sh.518880:3.301|sz.159934:3.275,false
2019-11-21,pm,94030.79999999996,0.0,0.0,213305.89999999997,213305.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.703|sh.518880:3.294|sz.159934:3.268,false
2019-11-22,am,94030.79999999996,0.0,0.0,213305.89999999997,213305.89999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.703|sh.518880:3.294|sz.159934:3.268,false
2019-11-22,pm,94030.79999999996,0.0,0.0,213118.39999999997,213118.39999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.673|sh.518880:3.287|sz.159934:3.261,false
2019-11-25,am,94030.79999999996,0.0,0.0,213118.39999999997,213118.39999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.673|sh.518880:3.287|sz.159934:3.261,false
2019-11-25,pm,94030.79999999996,0.0,0.0,212500.99999999994,212500.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.57|sh.518880:3.264|sz.159934:3.238,false
2019-11-26,am,94030.79999999996,0.0,0.0,212500.99999999994,212500.99999999994,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.57|sh.518880:3.264|sz.159934:3.238,false
2019-11-26,pm,94030.79999999996,0.0,0.0,212459.69999999995,212459.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.56|sh.518880:3.263|sz.159934:3.236,false
2019-11-27,am,94030.79999999996,0.0,0.0,212459.69999999995,212459.69999999995,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.56|sh.518880:3.263|sz.159934:3.236,false
2019-11-27,pm,94030.79999999996,0.0,0.0,212624.49999999997,212624.49999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.599|sh.518880:3.268|sz.159934:3.243,false
2019-11-28,am,94030.79999999996,0.0,0.0,212624.49999999997,212624.49999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.599|sh.518880:3.268|sz.159934:3.243,false
2019-11-28,pm,94030.79999999996,0.0,0.0,212432.29999999996,212432.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.596|sh.518880:3.261|sz.159934:3.235,false
2019-11-29,am,94030.79999999996,0.0,0.0,212432.29999999996,212432.29999999996,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.596|sh.518880:3.261|sz.159934:3.235,false
2019-11-29,pm,94030.79999999996,0.0,0.0,212562.39999999997,212562.39999999997,0.0,sh.511010:300|sh.518880:12700|sz.159934:12800,sh.511010:118.775|sh.518880:3.265|sz.159934:3.237,true
