event_id,symbol,announcement_version,ann_date,decision_time,start_timestamp,type_upgrade,numeric_revision,numeric_available,admission_rank,risk_state,held_seats,pending_seats,category,issued,order_price_first,order_price_last,n_submissions,order_outcomes,fill_day,fill_price,decision_anchor_price,skip_or_cancel_reason,diag_ret_from_decision_20,diag_ret_from_announcement_20,ret_from_fill_cost_20,decision_to_fill_price_ret,label_end_decision,window_complete,crosses_dev_boundary,matched_control_return,pool_mean_20,pool_n,pool_n_complete,actual_net_pnl,buy_cost,pnl_over_buy_cost,sell_proceeds,dividend_cash,outcome
B1|sz.002882|20190331|a2019-04-10|u0,sz.002882,20190331#u0,2019-04-10,2019-04-11 am,2019-04-11 am,false,true,true,2,normal,1,1,issued,true,11.95,11.95,1,"{""filled_limit_buy"": 1}",2019-04-11,11.95,11.95,"",-0.061276595744680695,-0.08606557377049151,-0.07698744769874466,0.0,2019-05-14,true,false,-0.1404494382022471,-0.1265977768810568,2260,2259,-3447.4500000000044,52585.258,-0.06555924856354235,49137.808,0.0,filled
B1|sz.002079|20190331|a2019-04-11|u0,sz.002079,20190331#u0,2019-04-11,2019-04-12 am,2019-04-12 am,false,true,true,1,normal,3,0,issued,true,7.34,7.34,1,"{""filled_limit_buy"": 1}",2019-04-12,7.34,7.34,"",-0.02937249666221675,-0.029850746268657247,-0.009536784741144833,0.0,2019-05-15,true,false,-0.12226512226512232,-0.10604048978473485,2260,2259,-10780.404800000004,52853.2848,-0.20396849203968498,42072.88,0.0,filled
B1|sz.002398|20190331|a2019-04-11|u0,sz.002398,20190331#u0,2019-04-11,2019-04-12 am,2019-04-12 am,false,true,true,2,normal,3,1,slot_full,false,,,0,{},,,7.27,slot_full,-0.1292134831460675,-0.1784741144414168,,,2019-05-15,true,false,-0.12226512226512232,-0.10604048978473485,2260,2259,,,,,,never_seen
B1|sz.002012|20190331|a2019-04-13|u0,sz.002012,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,7.4,slot_full,-0.21531791907514453,-0.2643835616438355,,,2019-05-16,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002021|20190331|a2019-04-13|u0,sz.002021,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,2,normal,4,0,slot_full,false,,,0,{},,,3.34,slot_full,-0.3757396449704141,-0.32727272727272716,,,2019-05-17,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002151|20190331|a2019-04-13|u0,sz.002151,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,3,normal,4,0,slot_full,false,,,0,{},,,26.33,slot_full,-0.08187569780424264,-0.11260053619302957,,,2019-05-16,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002164|20190331|a2019-04-13|u0,sz.002164,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,4,normal,4,0,slot_full,false,,,0,{},,,3.9,slot_full,0.4438642297650135,0.2997416020671839,,,2019-05-16,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002234|20190331|a2019-04-13|u0,sz.002234,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,5,normal,4,0,slot_full,false,,,0,{},,,31.91,slot_full,0.08494337108594241,0.0067985166872679414,,,2019-05-16,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002333|20190331|a2019-04-13|u0,sz.002333,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,6,normal,4,0,slot_full,false,,,0,{},,,7.6,slot_full,-0.36612021857923494,-0.40909090909090906,,,2019-05-17,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002381|20190331|a2019-04-13|u0,sz.002381,20190331#u0,2019-04-13,2019-04-15 am,2019-04-15 am,false,true,true,7,normal,4,0,slot_full,false,,,0,{},,,11.29,slot_full,-0.1799086757990871,-0.20282186948853664,,,2019-05-16,true,false,-0.10670731707317038,-0.0920893340854177,2260,2259,,,,,,never_seen
B1|sz.002560|20190331|a2019-04-15|u0,sz.002560,20190331#u0,2019-04-15,2019-04-16 am,2019-04-16 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,6.34,slot_full,-0.08437499999999987,-0.0048154093097914075,,,2019-05-17,true,false,-0.1550387596899223,-0.14037169032280092,2260,2259,,,,,,never_seen
B1|sz.002591|20190331|a2019-04-15|u0,sz.002591,20190331#u0,2019-04-15,2019-04-16 am,2019-04-16 am,false,true,true,2,normal,4,0,slot_full,false,,,0,{},,,8.02,slot_full,0.013381995133819657,0.03532277710109577,,,2019-05-17,true,false,-0.1550387596899223,-0.14037169032280092,2260,2259,,,,,,never_seen
B1|sz.002757|20190331|a2019-04-15|u0,sz.002757,20190331#u0,2019-04-15,2019-04-16 am,2019-04-16 am,false,true,true,3,normal,4,0,slot_full,false,,,0,{},,,32.98,slot_full,0.13074842200180292,0.14918625678119346,,,2019-05-17,true,false,-0.1550387596899223,-0.14037169032280092,2260,2259,,,,,,never_seen
B1|sz.002669|20190331|a2019-04-16|u1,sz.002669,20190331#u1,2019-04-16,2019-04-17 am,2019-04-17 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,15.15,slot_full,-0.12516823687752343,-0.13531799729364002,,,2019-05-20,true,false,-0.16467065868263453,-0.15210246436485317,2260,2259,,,,,,never_seen
B1|sz.002592|20190630|a2019-07-04|u0,sz.002592,20190630#u0,2019-07-04,2019-07-05 am,2019-07-05 am,false,true,true,1,normal,0,0,issued,true,15.7,15.7,1,"{""filled_limit_buy"": 1}",2019-07-05,15.7,15.7,"",-0.08650742414460943,-0.07449494949494972,-0.0987261146496815,0.0,2019-08-02,true,false,-0.06607369758576853,-0.05767262629096483,1265,1265,-6070.248,50245.024,-0.12081291870812919,44174.776,0.0,filled
B1|sz.002182|20190630|a2019-07-09|u0,sz.002182,20190630#u0,2019-07-09,2019-07-10 am,2019-07-10 am,false,true,true,1,normal,1,0,issued,true,7.87,7.87,1,"{""not_penetrated"": 1}",,,7.87,cancel_cap,0.10486891385767749,0.16881443298969057,,,2019-08-07,true,false,-0.07037821871187278,-0.05710599986410055,1265,1265,,,,,,cancel_cap
B1|sz.002299|20190630|a2019-07-09|u0,sz.002299,20190630#u0,2019-07-09,2019-07-10 am,2019-07-10 am,false,true,true,2,normal,1,1,issued,true,26.53,26.53,1,"{""filled_limit_buy"": 1}",2019-07-10,26.53,26.53,"",0.11954022988505741,0.040892193308550207,0.10139464756878991,0.0,2019-08-07,true,false,-0.07037821871187278,-0.05710599986410055,1265,1265,3718.3125999999975,47759.0,0.07785574656085759,51477.3126,0.0,filled
B1|sz.000912|20190630|a2019-07-13|u1,sz.000912,20190630#u1,2019-07-13,2019-07-15 am,2019-07-15 am,false,true,true,1,normal,2,0,issued,true,5.69,5.69,1,"{""filled_limit_buy"": 1}",2019-07-15,5.69,5.69,"",-0.1681260945709282,-0.21166666666666656,-0.16520210896309317,0.0,2019-08-12,true,false,-0.07560137457044702,-0.056848132676972495,1265,1265,-8675.455199999997,50077.0072,-0.1732422859327743,41401.552,0.0,filled
B1|sz.002745|20190630|a2019-07-12|u0,sz.002745,20190630#u0,2019-07-12,2019-07-15 am,2019-07-15 am,false,true,true,2,normal,2,1,issued,true,11.69,11.69,1,"{""filled_limit_buy"": 1}",2019-07-15,11.69,11.69,"",-0.10948275862068935,-0.1573913043478259,-0.11633875106928959,0.0,2019-08-12,true,false,-0.07560137457044702,-0.056848132676972495,1265,1265,-7405.940699999999,50272.0267,-0.14731732906244654,42866.086,0.0,filled
B1|sz.002869|20190630|a2019-07-12|u0,sz.002869,20190630#u0,2019-07-12,2019-07-15 am,2019-07-15 am,false,true,true,3,normal,2,2,slot_full,false,,,0,{},,,49.02,slot_full,0.11380484872771013,0.14017056636781122,,,2019-08-12,true,false,-0.07560137457044702,-0.056848132676972495,1265,1265,,,,,,never_seen
B1|sz.002835|20190630|a2019-07-15|u1,sz.002835,20190630#u1,2019-07-15,2019-07-16 am,2019-07-16 am,false,true,true,1,normal,4,0,slot_full,false,,,0,{},,,9.62,slot_full,0.1570680628272254,0.1598746081504705,,,2019-08-13,true,false,-0.08354114713216931,-0.06349434151046099,1265,1265,,,,,,never_seen
B1|sz.002299|20190930|a2019-10-09|u1,sz.002299,20190930#u1,2019-10-09,2019-10-10 am,2019-10-10 am,false,true,true,1,normal,0,0,issued,true,27.08,27.08,1,"{""filled_limit_buy"": 1}",2019-10-10,27.08,27.08,"",-0.0077864293659619666,-0.008248968878890262,-0.011816838995568402,0.0,2019-11-07,true,false,-0.0239333006375676,-0.014417368567118723,1397,1397,-368.4439999999995,48749.0,-0.007557980676526688,48380.556,0.0,filled
B1|sz.002318|20190930|a2019-10-09|u1,sz.002318,20190930#u1,2019-10-09,2019-10-10 am,2019-10-10 am,false,true,true,2,normal,0,1,issued,true,8.58,8.58,1,"{""filled_limit_buy"": 1}",2019-10-10,8.58,8.58,"",-0.013840830449826536,-0.004750593824227378,-0.0034965034965029895,0.0,2019-11-07,true,false,-0.0239333006375676,-0.014417368567118723,1397,1397,-725.3849999999984,48053.0,-0.015095519530518353,47327.615000000005,0.0,filled
B1|sz.002639|20190930|a2019-10-11|u0,sz.002639,20190930#u0,2019-10-11,2019-10-14 am,2019-10-14 am,false,true,true,1,normal,2,0,issued,true,9.13,9.13,1,"{""filled_limit_buy"": 1}",2019-10-14,9.13,9.13,"",-0.11428571428571388,-0.07828004410143308,-0.11719605695509272,0.0,2019-11-11,true,false,-0.06666666666666632,-0.058837631228877536,1397,1397,-3584.8640000000014,48394.00000000001,-0.07407662106872755,44809.136000000006,0.0,filled
B1|sz.002151|20190930|a2019-10-15|u1,sz.002151,20190930#u1,2019-10-15,2019-10-16 am,2019-10-16 am,false,true,true,1,reduced,3,0,issued,true,21.79,21.79,1,"{""filled_limit_buy"": 1}",2019-10-16,21.79,21.79,"",-0.03963133640552996,-0.03587856485740559,-0.043597980725103236,0.0,2019-11-13,true,false,-0.05377906976744162,-0.04105458157050316,1397,1397,-919.7200000000012,19616.0,-0.04688621533442094,18696.28,0.0,filled
B1|sz.002429|20190930|a2019-10-15|u0,sz.002429,20190930#u0,2019-10-15,2019-10-16 am,2019-10-16 am,false,true,true,2,reduced,3,1,slot_full,false,,,0,{},,,2.9,slot_full,-0.013793103448275779,-0.020270270270270285,,,2019-11-13,true,false,-0.05377906976744162,-0.04105458157050316,1397,1397,,,,,,never_seen
B1|sz.002481|20190930|a2019-10-15|u0,sz.002481,20190930#u0,2019-10-15,2019-10-16 am,2019-10-16 am,false,true,true,3,reduced,3,1,slot_full,false,,,0,{},,,8.25,slot_full,-0.06633906633906628,-0.10201660735468543,,,2019-11-13,true,false,-0.05377906976744162,-0.04105458157050316,1397,1397,,,,,,never_seen
