event_id,symbol,end_date,ann_date,update_flag,source_rows_matched,has_previous_version,funnel_type_upgrade,recomputed_type_upgrade,type_upgrade_match,funnel_numeric_revision,recomputed_numeric_revision,numeric_revision_match,funnel_numeric_available,recomputed_numeric_available,numeric_available_match,current_type,previous_type,current_net_profit_min,current_net_profit_max,previous_net_profit_min,previous_net_profit_max
B1|sz.002803|20200630|a2020-07-07|u0,sz.002803,20200630,2020-07-07,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,25313.0,26053.0,20724.0,23685.0
B1|sz.002223|20200630|a2020-07-08|u0,sz.002223,20200630,2020-07-08,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,106670.0,112003.0,80002.0,82669.0
B1|sz.002324|20200630|a2020-07-11|u0,sz.002324,20200630,2020-07-11,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,28103.0,31093.0,14949.0,17938.0
B1|sz.002489|20200630|a2020-07-13|u0,sz.002489,20200630,2020-07-13,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,58000.0,63000.0,35602.0,42723.0
B1|sz.002030|20200630|a2020-07-14|u0,sz.002030,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,62000.0,80000.0,30257.0,45000.0
B1|sz.002049|20200630|a2020-07-14|u0,sz.002049,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,35668.0,41452.0,26992.0,32776.0
B1|sz.002079|20200630|a2020-07-14|u0,sz.002079,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,续盈,续盈,3831.0,4733.0,2930.0,4057.0
B1|sz.002229|20200630|a2020-07-14|u0,sz.002229,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,1598.0,2058.0,-2167.0,-1991.0
B1|sz.002544|20200630|a2020-07-14|u0,sz.002544,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,略减,略减,3240.0,4050.0,0.0,2025.0
B1|sz.002560|20200630|a2020-07-14|u0,sz.002560,20200630,2020-07-14,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,9000.0,9800.0,8000.0,9000.0
B1|sz.000786|20200630|a2020-07-15|u1,sz.000786,20200630,2020-07-15,1,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,75000.0,105000.0,50000.0,75000.0
B1|sz.002184|20200630|a2020-07-15|u0,sz.002184,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,3500.0,4000.0,2000.0,3000.0
B1|sz.002187|20200630|a2020-07-15|u0,sz.002187,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,首亏,首亏,-2600.0,-1800.0,-4500.0,-3500.0
B1|sz.002414|20200630|a2020-07-15|u0,sz.002414,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,47827.0,53805.0,26902.0,31386.0
B1|sz.002432|20200630|a2020-07-15|u0,sz.002432,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,扭亏,扭亏,23000.0,28000.0,15000.0,20000.0
B1|sz.002437|20200630|a2020-07-15|u0,sz.002437,20200630,2020-07-15,0,1,True,False,False,True,True,True,True,True,True,True,预增,预增,65000.0,68000.0,63000.0,68000.0
