record_type,key,symbol,family,anchor_date,label_end_at,n_own_sessions,n_market_sessions,window_complete,crosses_dev_boundary,censoring_reason,retained,deleted,funnel_label_end_decision,label_end_match,note
b1_event_window,B1|sz.002030|20200630|a2020-07-14|u0,sz.002030,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002049|20200630|a2020-07-14|u0,sz.002049,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002079|20200630|a2020-07-14|u0,sz.002079,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002229|20200630|a2020-07-14|u0,sz.002229,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002544|20200630|a2020-07-14|u0,sz.002544,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002560|20200630|a2020-07-14|u0,sz.002560,B1,2020-07-15,2020-08-12,20,20,True,False,,True,False,2020-08-12,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.000786|20200630|a2020-07-15|u1,sz.000786,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002184|20200630|a2020-07-15|u0,sz.002184,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002187|20200630|a2020-07-15|u0,sz.002187,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002414|20200630|a2020-07-15|u0,sz.002414,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002432|20200630|a2020-07-15|u0,sz.002432,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
b1_event_window,B1|sz.002437|20200630|a2020-07-15|u0,sz.002437,B1,2020-07-16,2020-08-13,20,20,True,False,,True,False,2020-08-13,True,窗口不完整/跨界时保留并标记，不进入完整窗口均值
