day,sess,symbol,reason,source
2017-08-31,pm,sz.000887,seat_exit,2017-08-31
2017-08-31,pm,sz.002761,seat_exit,2017-08-31
2017-09-26,am,sh.603010,protection,2017-09-26
2017-09-29,pm,sh.603010,seat_exit,2017-09-29
2017-09-29,pm,sz.000544,seat_exit,2017-09-29
2017-09-29,pm,sz.002025,seat_exit,2017-09-29
2017-09-29,pm,sz.002152,seat_exit,2017-09-29
2017-10-16,pm,sz.002662,stop,2017-10-16
2017-10-25,am,sh.600226,account_trim,2017-09-29
2017-10-31,pm,sh.600226,seat_exit,2017-10-31
2017-10-31,pm,sh.600681,seat_exit,2017-10-31
2017-10-31,pm,sz.002622,seat_exit,2017-10-31
2017-10-31,pm,sz.002662,seat_exit,2017-10-31
2017-11-09,am,sh.600782,account_trim,2017-10-31
2017-11-14,pm,sh.600276,protection,2017-11-14
2017-11-17,pm,sz.002335,stop,2017-11-17
2017-11-28,pm,sh.600782,account_trim,2017-10-31
2017-11-29,am,sh.600782,take_half,2017-11-29
2017-11-29,am,sz.000651,protection,2017-11-29
2017-11-30,pm,sh.600276,seat_exit,2017-11-30
2017-11-30,pm,sh.600782,seat_exit,2017-11-30
2017-11-30,pm,sz.000651,seat_exit,2017-11-30
2017-11-30,pm,sz.002335,seat_exit,2017-11-30
2017-12-11,am,sz.002264,account_trim,2017-11-30
2017-12-12,am,sz.002129,take_half,2017-12-12
2017-12-14,am,sz.002129,clear,2017-12-14
2017-12-15,am,sz.002129,clear,2017-12-14
2017-12-15,pm,sz.002129,clear,2017-12-14
2017-12-18,am,sz.002129,clear,2017-12-14
2017-12-19,am,sz.002129,clear,2017-12-14
2017-12-19,pm,sz.002129,clear,2017-12-14
2017-12-20,pm,sz.002129,clear,2017-12-14
2017-12-21,pm,sz.002129,clear,2017-12-14
2017-12-22,am,sz.002129,clear,2017-12-14
2017-12-25,pm,sz.002129,clear,2017-12-14
2017-12-26,am,sz.002129,clear,2017-12-14
2017-12-27,am,sz.002129,clear,2017-12-14
2017-12-27,pm,sz.002129,clear,2017-12-14
2017-12-28,pm,sz.002129,clear,2017-12-14
2017-12-29,am,sz.002264,protection,2017-12-29
2017-12-29,pm,sh.600155,seat_exit,2017-12-29
2017-12-29,pm,sh.600592,seat_exit,2017-12-29
2017-12-29,pm,sz.002129,seat_exit,2017-12-29
2017-12-29,pm,sz.002129,clear,2017-12-14
2018-01-30,am,sh.600868,account_trim,2017-12-29
2018-01-31,pm,sh.600651,seat_exit,2018-01-31
2018-01-31,pm,sh.600868,seat_exit,2018-01-31
2018-01-31,pm,sz.000065,seat_exit,2018-01-31
2018-01-31,pm,sz.002845,seat_exit,2018-01-31
2018-01-31,pm,sz.002845,stop,2018-01-31
2018-02-02,am,sh.600119,stop,2018-02-02
2018-02-06,am,sh.600698,stop,2018-02-06
2018-02-06,pm,sh.600698,stop,2018-02-06
2018-02-06,pm,sh.601992,stop,2018-02-06
2018-02-09,am,sz.000717,stop,2018-02-09
2018-02-09,pm,sh.600119,stop,2018-02-09
2018-02-23,am,sh.600698,account_trim,2018-01-31
2018-02-23,pm,sh.600698,account_trim,2018-01-31
2018-02-28,pm,sh.600119,seat_exit,2018-02-28
2018-02-28,pm,sh.600698,seat_exit,2018-02-28
2018-02-28,pm,sh.601992,seat_exit,2018-02-28
2018-02-28,pm,sz.000717,seat_exit,2018-02-28
2018-03-19,am,sz.002570,account_trim,2018-02-28
2018-03-19,pm,sz.002570,account_trim,2018-02-28
2018-03-23,am,sh.600729,account_trim,2018-02-28
2018-03-23,pm,sh.600729,account_trim,2018-02-28
2018-03-26,am,sz.002570,protection,2018-03-26
2018-03-26,am,sh.600729,account_trim,2018-02-28
2018-03-26,pm,sh.600729,account_trim,2018-02-28
