factor,A01,A02,A05,A09,A10,A17,A18,A19,A20,A21,A22,A23,A24,A25,B09,B10,B11,B12,B14,B15,C01,C11,C12,C19,D07,D08,D09,D10,D12,D13,D14,D17,D18,D19,D20,D21,D25,D30,E16,F02,F06,F09,F10
C01,0.849934913397071,0.43495812673339945,0.7017777036739552,0.38032815703073947,0.5443044384883609,0.18395432863635966,0.4410216183841699,-0.08084528681164245,0.18429614006510114,0.5932353811832596,0.3686503663025948,0.6647020301268796,0.6285859806645501,-0.24904158347382674,0.14478430352571128,0.04880124338060432,0.17128653632656196,0.35374917334735717,-0.13035489311888307,0.8387138336404318,1.0,0.8242614365517921,0.8305308182595578,0.22032912829537138,0.025345070355077153,0.030088081101698385,0.06055056732061536,0.0345079253060291,0.06537223057916947,0.06913325844742248,0.03808473780573054,0.02512549185829838,0.02887219774743466,0.024326315217507666,0.05956768147786113,0.08518317065299724,0.011906637234170458,0.03222473906382435,-0.0481732982183066,0.024135053075893458,0.13843532689659402,0.6587436572308323,0.09244243466748117
C11,0.9688127652404616,0.4905010600639568,0.7993245884263837,0.4147527910491956,0.6059300594330984,0.14461216311179126,0.5063558635264225,-0.06504479422493091,0.1781068680544807,0.6311512414020173,0.42375759137487645,0.7462166140931956,0.7082182194733352,-0.2785431217944821,0.0787418687541969,-0.03638582483294959,0.12452260611603834,0.4025384933397095,-0.13412469273105204,0.9542201226471171,0.8242614365517921,1.0,0.9156789583955628,0.45775955363690796,0.042843839808803526,0.05147420862328971,0.08738501640488845,0.046021138197634884,0.07712013581948848,0.08010252210886323,0.047391869736223904,0.025317085022682293,0.05196145330067392,0.02326218839993178,0.054642828612021944,0.09485508461210976,0.0070750972346747135,0.054167497026461744,-0.01636420069905152,-0.07602293319730909,0.16616924189558724,0.7990347885801374,0.03131642262917731
C12,0.9668504128212417,0.506126473971695,0.7964887694800953,0.41465328670086,0.6052497005946673,0.17151792962777682,0.519561773515544,-0.0794760052320774,0.19672930987987725,0.6389912296200049,0.43630128705384563,0.7427927345391236,0.7165991106990081,-0.2921866037718041,0.1233307701849766,0.006294385950281869,0.1637611785698913,0.42165642586518004,-0.15540930572517006,0.9523072882795631,0.8305308182595578,0.9156789583955628,1.0,0.4454111135700375,0.041875098269838776,0.04868922720094144,0.09035872805205601,0.047189857128802186,0.08346153799775917,0.0821409776720605,0.04562065194309228,0.03856606569237466,0.043200859063625544,0.02700612232991591,0.06873471481208675,0.10097677732467497,0.008630763192625315,0.04757022426292443,-0.04330940488593256,-0.04469746718382797,0.15523777301275213,0.7988259798764434,0.06895912592142879
C19,0.47026582314741094,0.276212804854686,0.3835866449144248,0.2428965442551473,0.3402205823132633,-0.057845155862065616,0.2994123902818369,0.09091421833904585,0.03639176888477327,0.3847549573712168,0.2565494175652585,0.3950340034734728,0.376823329808398,-0.18184404432370446,-0.007842468491569343,-0.07448477895883551,0.02000830898426875,0.2490707782277946,0.0640329002317167,0.4600202941972636,0.22032912829537138,0.45775955363690796,0.4454111135700375,1.0,0.06283861114842444,0.06790395975374941,0.04052460452469588,0.019198376242086212,0.030393631617298356,0.04684542145112991,0.026173441761988395,0.04735981551004249,0.051641159886416835,0.019283652365139094,-0.004773581494411198,0.03909868240894032,-0.004957491034966001,0.06721426817894997,0.0368301652727272,-0.12356011360318929,-0.03881769378635238,0.5186827228914995,-0.061484365890763774
D07,0.04799654754610177,0.06673778846732199,0.025858601593645187,0.045512476737693805,0.05049869468982919,-0.0027195978104991173,0.034293262258897304,-0.04829825917003435,-0.042117415177615906,0.01497905543480173,0.022013833186555306,0.056228286319780364,0.07324126144377151,-0.05494137018091778,-0.10789079462054277,-0.11642010882391064,-0.10562745117281098,0.028572164432019705,-0.05190161872403462,0.04410538271277142,0.025345070355077153,0.042843839808803526,0.041875098269838776,0.06283861114842444,1.0,0.9229574580241949,0.2797404725576161,0.050197598616441845,0.10503787991248974,0.08280008947418974,0.07887648109575165,0.7218488252563645,0.043420074896206216,0.5260818322784798,-0.01270809878642168,0.11926148487480125,-0.08606909456726944,0.879891910945149,0.19692006807764442,-0.14937551968542095,0.002316437668374842,0.03309895465845897,-0.09317324167832206
D08,0.05523422007828722,0.0787073255195991,0.03202460095256879,0.05057269181070357,0.05677760113417661,0.014209059299373909,0.041636518269694146,-0.05931597792461098,-0.0519393564045821,0.01749970381158488,0.027760130790682024,0.06221604339179135,0.08345987687575482,-0.07235101388475694,-0.09586399032233375,-0.10466643217575666,-0.09815658618156824,0.0338604840711126,-0.08022110675309012,0.05148111600271429,0.030088081101698385,0.05147420862328971,0.04868922720094144,0.06790395975374941,0.9229574580241949,1.0,0.3250121906777039,0.061365316292478815,0.12132919696719534,0.09926562040688044,0.09928749753304866,0.685661276291351,0.18026912817973567,0.5411440077816141,-0.00914499452354006,0.12932924091002226,-0.09680921939657915,0.9403686387263281,0.21090771428147886,-0.14904510354961983,0.008570700427591211,0.0386285533817801,-0.0789951238488752
D09,0.09153262825449165,0.1365928099241039,0.050816745104630696,0.09491453980729239,0.09881833057249752,0.17084735057313502,0.10014634805710348,-0.24440273050374245,-0.12428232311344362,0.02266104330399877,0.08636543092473668,0.1005705362247741,0.11237206579364563,-0.12455865528544909,-0.08253947502828786,-0.09861041311465714,-0.11683322327942242,0.0773656149438947,-0.3063392923145194,0.08731423674224205,0.06055056732061536,0.08738501640488845,0.09035872805205601,0.04052460452469588,0.2797404725576161,0.3250121906777039,1.0,0.5499261120100837,0.38673980330508057,0.22974166433315393,0.16380505950911067,0.21611925899675108,0.3474590043650427,0.08016406244230749,0.2145943582384038,0.40263348371385993,-0.0658912787236587,0.34980771063898247,0.3378799613612443,-0.15360922459239462,0.020399800445139664,0.03637273347405681,-0.10922225912051114
D10,0.045969639900313615,0.062025854978289226,0.027131770343701112,0.04919491355811177,0.05273808381312004,0.0658406887391144,0.06903837192766756,-0.10447998946974608,-0.11041515833436029,0.01692280791859233,0.07034994063129009,0.04567248377690341,0.03879810397379851,-0.06961242037217492,-0.04051917417990917,-0.05272803692824493,-0.06913525937483289,0.05692930333328197,0.040447671426462224,0.04194644818845164,0.0345079253060291,0.046021138197634884,0.047189857128802186,0.019198376242086212,0.050197598616441845,0.061365316292478815,0.5499261120100837,1.0,0.05968066748382497,-0.031924464661482854,0.015067146622362412,0.066056349755494,0.07602432229141158,0.008757513471850099,0.05819050594035591,0.07509482264950189,-0.0697727703335352,0.15135318085310207,0.16583368453765024,-0.07085528019305813,-0.028907521383080458,0.012490956263058977,-0.08081366511954086
D12,0.07975689545851018,0.15090668887890987,0.04704844709506914,0.07553109444805273,0.07488504792171984,0.16116130324127795,0.0685928878837094,-0.16873633555008002,-0.03980112000361994,0.040554460476291736,0.05414019585245922,0.08102566951437075,0.111710212813862,-0.11626373264301136,0.06422508305566202,0.05810051298308409,0.02567758783093275,0.05157520237746262,-0.21009512786533086,0.084377411887843,0.06537223057916947,0.07712013581948848,0.08346153799775917,0.030393631617298356,0.10503787991248974,0.12132919696719534,0.38673980330508057,0.05968066748382497,1.0,0.8328315192561117,0.37077358195459065,0.059807609711687276,0.1429975030685283,0.12280259738012966,0.4466505006905087,0.7322912985504684,-0.033196942959428696,0.1116748137842226,-0.08158437907406678,-0.0153592510970583,0.03370706524727243,0.0486610161765966,0.048811713987819576
D13,0.08221957784180728,0.15846575215810207,0.05200664502649346,0.07079034010553414,0.07496265834180764,0.12149404782094361,0.05832415744289241,-0.13095277185086265,-0.019211291016078897,0.047736740034168904,0.0385697488380086,0.08253875705046769,0.12660551903298514,-0.12295012563226826,0.0236400331352557,0.01458223897428725,-0.006365383193331455,0.05886979471328129,-0.11295791024918969,0.08676150319676365,0.06913325844742248,0.08010252210886323,0.0821409776720605,0.04684542145112991,0.08280008947418974,0.09926562040688044,0.22974166433315393,-0.031924464661482854,0.8328315192561117,1.0,0.37937407626209513,0.022916157101136356,0.10545762965451355,0.12895863085843956,0.36233021606038324,0.6224317586257088,0.08003400340631651,0.08925777362433522,-0.0973461705642483,-0.02180662693529391,0.02169623965955345,0.05538104311344446,0.026686903868319036
