arm,symbol_source,order_id,symbol,side,intent,decision_date,decision_session,live_date,live_session,engine_event,engine_shares,engine_limit_price,engine_ref_price,matcher_filled,matcher_reason,matcher_status,matcher_fill_type,matcher_fill_date,matcher_fill_session,matcher_shares,matcher_price,matcher_commission,matcher_stamp_tax,matcher_fees_total,engine_fill_id,engine_fill_shares,engine_fill_price,engine_fill_commission,engine_fill_stamp_tax,engine_fill_fees_total,fill_fields_match,probe_mode,core_fields_match,note
A2,,sz.002621-sell/risk-2015-11-27-pm,sz.002621,sell,risk,2015-11-27,pm,2015-11-30,am,filled_limit_sell,2100,21.28,21.28,True,filled,full_fill,limit,2015-11-30,am,2100,21.28,5.00,44.69,49.69,F000018,2100,21.28,5.0,44.688,49.688,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.002095-sell/risk-2015-12-01-am,sz.002095,sell,risk,2015-12-01,am,2015-12-01,pm,filled_limit_sell,600,81.55,81.55,True,filled,full_fill,limit,2015-12-01,pm,600,81.55,5.00,48.93,53.93,F000019,600,81.55,5.0,48.93,53.93,True,full,True,strict penetration: session high > q; fill at q
A2,,sh.603088-sell/risk-2015-12-09-pm,sh.603088,sell,risk,2015-12-09,pm,2015-12-10,am,not_penetrated,,51.99,51.99,False,never_crossed,expired,,,,,,,,,,,,,,,,full,True,strict penetration required: session high > q (touch does not fill)
A2,,sh.603088-sell/risk-2015-12-10-am,sh.603088,sell,risk,2015-12-10,am,2015-12-10,pm,filled_limit_sell,800,49.5,49.5,True,filled,full_fill,limit,2015-12-10,pm,800,49.5,5.00,39.60,44.60,F000020,800,49.5,5.0,39.6,44.6,True,full,True,strict penetration: session high > q; fill at q
A2,,sh.603288-sell/risk-2016-01-07-am,sh.603288,sell,risk,2016-01-07,am,2016-01-07,pm,void_suspended,,31.0,31.0,False,suspended,expired,,,,,,,,,,,,,,,,full,True,no half-day bar this session (suspension / missing half-day row)
A2,,sh.603288-sell/risk-2016-01-07-pm,sh.603288,sell,risk,2016-01-07,pm,2016-01-08,am,filled_limit_sell,1400,31.02,31.02,True,filled,full_fill,limit,2016-01-08,am,1400,31.02,5.00,43.43,48.43,F000021,1400,31.02,5.0,43.428000000000004,48.428000000000004,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.000961-buy-2016-04-07-pm,sz.000961,buy,,2016-04-07,pm,2016-04-08,am,filled_limit_buy,3100,16.18,16.18,True,filled,full_fill,limit,2016-04-08,am,3100,16.18,5.02,0.00,5.02,F000022,3100,16.18,5.0158000000000005,0.0,5.0158000000000005,True,full,True,strict penetration: session low < p; fill at p
A2,,sh.601199-buy-2016-04-08-pm,sh.601199,buy,,2016-04-08,pm,2016-04-11,am,filled_limit_buy,2600,19.05,19.05,True,filled,full_fill,limit,2016-04-11,am,2600,19.05,5.00,0.00,5.00,F000023,2600,19.05,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.002572-buy-2016-04-08-pm,sz.002572,buy,,2016-04-08,pm,2016-04-11,am,not_penetrated,,44.5,44.5,False,never_crossed,expired,,,,,,,,,,,,,,,,lot_probe_penetration,True,strict penetration required: session low < p (touch does not fill)
A2,,sz.002508-buy-2016-04-11-pm,sz.002508,buy,,2016-04-11,pm,2016-04-12,am,filled_limit_buy,1000,49.5,49.5,True,filled,full_fill,limit,2016-04-12,am,1000,49.5,5.00,0.00,5.00,F000024,1000,49.5,5.0,0.0,5.0,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.000036-buy-2016-04-12-pm,sz.000036,buy,,2016-04-12,pm,2016-04-13,am,filled_limit_buy,5500,9.15,9.15,True,filled,full_fill,limit,2016-04-13,am,5500,9.15,5.03,0.00,5.03,F000025,5500,9.15,5.032500000000001,0.0,5.032500000000001,True,full,True,strict penetration: session low < p; fill at p
A2,,sz.000036-sell/risk-2016-05-18-am,sz.000036,sell,risk,2016-05-18,am,2016-05-18,pm,filled_limit_sell,5500,8.09,8.09,True,filled,full_fill,limit,2016-05-18,pm,5500,8.09,5.00,44.50,49.50,F000026,5500,8.09,5.0,44.495,49.495,False,full,True,strict penetration: session high > q; fill at q
A2,,sh.601199-sell/risk-2016-05-26-am,sh.601199,sell,risk,2016-05-26,am,2016-05-26,pm,filled_limit_sell,2600,15.67,15.67,True,filled,full_fill,limit,2016-05-26,pm,2600,15.67,5.00,40.74,45.74,F000027,2600,15.67,5.0,40.742,45.742,True,full,True,strict penetration: session high > q; fill at q
A2,,sz.002508-sell/risk-2016-06-02-am,sz.002508,sell,risk,2016-06-02,am,2016-06-02,pm,filled_limit_sell,1000,33.26,33.26,True,filled,full_fill,limit,2016-06-02,pm,1000,33.26,5.00,33.26,38.26,F000028,1000,33.26,5.0,33.26,38.26,True,full,True,strict penetration: session high > q; fill at q
