arm,order_id,symbol,side,live_date,live_session,limit_price,half_high,half_low,minute_day_high,minute_day_low,half_extremes_within_minute_range,finer_granularity_would_fill,other_session_high,other_session_low,halfday_verdict_conservative_miss,miss_attributable_to_this_session
SIG-old,sh.600242-sell/risk-2020-03-26-pm,sh.600242,sell,2020-03-27,am,9.5,9.3,8.87,9.3,8.66,True,False,9.12,8.66,False,True
SIG-old,sh.603659-buy-2020-03-31-pm,sh.603659,buy,2020-04-01,am,60.0,64.24,60.72,64.24,60.72,True,False,64.04,61.7,False,True
SIG-old,sz.002489-buy-2020-03-31-pm,sz.002489,buy,2020-04-01,am,3.49,3.74,3.52,3.74,3.52,True,False,3.7,3.59,False,True
SIG-old,sh.600242-sell/risk-2020-03-31-pm,sh.600242,sell,2020-04-01,am,7.7,7.58,7.13,7.9,7.13,True,True,7.9,7.26,True,False
SIG-old,sh.600311-sell/risk-2020-03-31-pm,sh.600311,sell,2020-04-01,am,2.5,2.48,2.4,2.7,2.4,True,True,2.7,2.45,True,False
SIG-old,sz.002489-sell/risk-2020-04-30-pm,sz.002489,sell,2020-05-06,am,3.9,3.9,3.83,3.92,3.83,True,True,3.92,3.87,True,False
SIG-old,sz.002740-buy-2020-06-30-pm,sz.002740,buy,2020-07-01,am,6.49,7.14,6.6,7.140000000000001,6.6000000000000005,True,False,7.14,6.78,False,True
SIG-old,sh.600079-sell/risk-2020-06-30-pm,sh.600079,sell,2020-07-01,am,27.22,27.18,26.47,27.18,26.18,True,False,26.75,26.18,False,True
SIG-old,sz.002740-sell/risk-2020-07-02-am,sz.002740,sell,2020-07-02,pm,7.85,7.85,7.85,7.8500000000000005,6.62,True,True,7.85,6.62,True,True
SIG-old,sz.002740-sell/profit-2020-07-03-am,sz.002740,sell,2020-07-03,pm,8.64,8.64,8.64,8.64,8.13,True,False,8.64,8.13,False,True
SIG-old,sz.000861-sell/profit-2020-07-28-pm,sz.000861,sell,2020-07-29,am,4.08,3.96,3.75,3.96,3.75,True,False,3.94,3.86,False,True
SIG-old,sz.002258-buy-2020-07-31-pm,sz.002258,buy,2020-08-03,am,21.29,22.49,21.6,22.490000000000002,21.6,True,False,22.3,21.7,False,True
SIG-old,sz.002258-sell/risk-2020-08-05-pm,sz.002258,sell,2020-08-06,am,24.76,24.58,23.33,24.580000000000002,23.330000000000002,True,False,24.49,23.8,False,True
SIG-old,sz.002258-sell/risk-2020-08-31-pm,sz.002258,sell,2020-09-01,am,22.9,22.9,22.41,22.900000000000002,22.07,True,True,22.58,22.07,True,True
