family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
B2,sh.601898,2019-11-05,unmatched,-0.02044989775051098,-0.03935185185185197,-0.033115985322594035,,,,
B2,sh.603309,2019-11-05,unmatched,-0.16166883963494116,-0.03935185185185197,-0.033115985322594035,,,,
B2,sh.603586,2019-11-05,unmatched,-2.220446049250313e-16,-0.03935185185185197,-0.033115985322594035,,,,
B2,sz.000063,2019-11-05,unmatched,-0.10426401869158852,-0.03935185185185197,-0.033115985322594035,,,,
B2,sh.600391,2019-11-06,unmatched,-0.059691482226693626,-0.030959752321981893,-0.023102013386252545,,,,
B2,sh.601099,2019-11-06,unmatched,-0.005952380952381042,-0.030959752321981893,-0.023102013386252545,,,,
B2,sh.601615,2019-11-06,unmatched,-0.12352478363493291,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002134,2019-11-06,unmatched,-0.04343434343434338,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002318,2019-11-06,unmatched,0.0035799522673027884,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002355,2019-11-06,unmatched,-0.03255813953488418,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002429,2019-11-06,unmatched,-0.02622950819672154,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002798,2019-11-06,unmatched,-0.08524590163934387,-0.030959752321981893,-0.023102013386252545,,,,
B2,sz.002850,2019-11-06,unmatched,0.07317775857101672,-0.030959752321981893,-0.023102013386252545,,,,
B2,sh.600079,2019-11-07,unmatched,-0.04639175257731987,-0.028449502133712556,-0.01854233573933763,,,,
B2,sh.600745,2019-11-07,unmatched,0.19144602851323844,-0.028449502133712556,-0.01854233573933763,,,,
B2,sh.601919,2019-11-07,unmatched,-0.016427104722792962,-0.028449502133712556,-0.01854233573933763,,,,
B2,sh.603308,2019-11-07,unmatched,-0.03445512820512808,-0.028449502133712556,-0.01854233573933763,,,,
B2,sz.002103,2019-11-07,unmatched,-0.07956989247311852,-0.028449502133712556,-0.01854233573933763,,,,
B2,sz.002214,2019-11-07,unmatched,-0.06353861192570887,-0.028449502133712556,-0.01854233573933763,,,,
B2,sz.002555,2019-11-07,unmatched,0.2083111347895572,-0.028449502133712556,-0.01854233573933763,,,,
B2,sz.002625,2019-11-07,unmatched,-0.1424755120213712,-0.028449502133712556,-0.01854233573933763,,,,
B2,sz.002665,2019-11-07,unmatched,-0.09186351706036744,-0.028449502133712556,-0.01854233573933763,,,,
B2,sh.600223,2020-01-10,filled,-0.08502024291498023,-0.057065217391304324,-0.01491531980494144,,2020-01-13,0.10020242914979738,-0.17111315547378125
B2,sz.002299,2020-01-10,filled,-0.06382567476779033,-0.057065217391304324,-0.01491531980494144,,2020-01-13,0.012262658227848,-0.061871591189297415
B2,sz.002476,2020-01-13,filled,-0.08139534883720967,-0.05534902932672481,-0.012303821091788823,,2020-01-14,-0.02470930232558144,-0.061102831594635365
B2,sz.000672,2020-01-14,filled,-0.03435710567412842,-0.05102040816326481,-0.016777669608528643,,2020-01-15,-0.0005205622071838834,-0.029166666666666785
B2,sz.000739,2020-01-14,unmatched,0.0565345080763584,-0.05102040816326481,-0.016777669608528643,,,,
B2,sz.002177,2020-01-15,unmatched,-0.12807881773399044,-0.027450980392156876,0.006670078365153324,,,,
B2,sh.603127,2020-01-16,unmatched,0.048491845865204164,-0.01416122004357323,0.0220509327067748,,,,
B2,sh.600079,2020-01-17,unmatched,-0.03313452617627566,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sh.600456,2020-01-17,unmatched,0.05357856857257115,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sh.601377,2020-01-17,unmatched,0.04078762306610417,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sh.603333,2020-01-17,unmatched,-0.28651162790697715,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sh.603505,2020-01-17,unmatched,0.0973843058350099,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sz.002916,2020-01-17,unmatched,0.5335311572700301,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sh.603218,2020-01-17,unmatched,-0.09959803483698026,-3.3306690738754696e-16,0.04012142676366928,,,,
B2,sz.000613,2020-01-20,unmatched,-0.1671554252199413,-0.013750954927425063,0.029368346162194924,,,,
B2,sz.002653,2020-01-21,unmatched,-0.049193881769326486,-0.012510425354461896,0.021932551631357638,,,,
B2,sh.600846,2020-01-22,filled,-0.02766393442622994,-0.010093727469358549,0.019423975725629095,,2020-01-23,-0.055327868852458995,-0.05639913232104177
B2,sh.600999,2020-01-22,unmatched,-0.041495901639344135,-0.010093727469358549,0.019423975725629095,,,,
B2,sh.603606,2020-01-22,unmatched,0.004878048780487809,-0.010093727469358549,0.019423975725629095,,,,
B2,sh.603712,2020-01-22,unmatched,0.06590476190476258,-0.010093727469358549,0.019423975725629095,,,,
B2,sh.603737,2020-01-22,unmatched,0.039019189765457485,-0.010093727469358549,0.019423975725629095,,,,
B2,sz.002279,2020-01-23,unmatched,0.15963855421686723,-0.02695919781055872,0.004795943388594715,,,,
B2,sh.600745,2020-02-03,unmatched,0.2729777777777782,0.11963865762110926,0.1494473884459817,,,,
B2,sh.603258,2020-02-03,unmatched,0.18023450586264667,0.11963865762110926,0.1494473884459817,,,,
B2,sz.000547,2020-02-03,unmatched,0.23893065998329166,0.11963865762110926,0.1494473884459817,,,,
B2,sh.600988,2020-02-03,unmatched,0.5167548500881831,0.11963865762110926,0.1494473884459817,,,,
B2,sh.600171,2020-02-05,filled,0.08054452637549603,0.1278582383491934,0.14552977485360072,,2020-02-06,0.052750992626205306,0.0344827586206895
B2,sh.600521,2020-02-05,unmatched,0.11170212765957421,0.1278582383491934,0.14552977485360072,,,,
B2,sh.603596,2020-02-05,filled,0.09154694286668819,0.1278582383491934,0.14552977485360072,,2020-02-06,0.0190444370197127,0.0459016393442615
B2,sh.603986,2020-02-05,unmatched,0.143166719954527,0.1278582383491934,0.14552977485360072,,,,
B2,sz.002467,2020-02-05,unmatched,0.14025974025974008,0.1278582383491934,0.14552977485360072,,,,
B2,sh.603456,2020-02-06,filled,-0.06441581519324746,0.11958709092754372,0.1359261057087462,,2020-02-07,-0.005775211017325699,-0.055853440571939195
B2,sh.603501,2020-02-06,unmatched,-0.11815750971192218,0.11958709092754372,0.1359261057087462,,,,
B2,sh.603538,2020-02-06,unmatched,0.05779078273591742,0.11958709092754372,0.1359261057087462,,,,
B2,sh.603825,2020-02-06,unmatched,0.07800917755029979,0.11958709092754372,0.1359261057087462,,,,
B2,sh.603882,2020-02-06,unmatched,0.00101694915254269,0.11958709092754372,0.1359261057087462,,,,
B2,sz.002697,2020-02-06,unmatched,0.17215189873417724,0.11958709092754372,0.1359261057087462,,,,
B2,sh.600845,2020-02-07,unmatched,-0.04676045175351706,0.0999337740581856,0.11869945261792263,,,,
B2,sh.603187,2020-02-07,unmatched,0.15901162790697665,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002160,2020-02-07,unmatched,0.4987531172069821,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002335,2020-02-07,unmatched,0.22137404580152675,0.0999337740581856,0.11869945261792263,,,,
B2,sz.002343,2020-02-07,unmatched,-0.05829596412556004,0.0999337740581856,0.11869945261792263,,,,
